tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais
COLISÃO TRASEIRA;FINALIZADA;05/01/2019;11:17:00;CABANGA;VIADUTO CAPITAO TEMUDO;;;COLISÃO TRASEIRA;COLISÃO ENVOLVENDO DOIS AUTOS SEM VÍTIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;05/01/2019;11:20:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;E/F A TUMPAN;COLISÃO;SEM VÍTIMAS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;05/01/2019;11:29:00;AFOGADOS;RUA COSME VIANA;766;EM FRENTE A CASA DO BORRACHEIRO;COLISÃO TRASEIRA;SEM VITIMAS;3;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;05/01/2019;11:36:00;MADALENA;AV ENGENHEIRO ABDIAS DE CARVALHO;;BOBS BURGERS;COLISÃO TRASEIRA;ONIBUS E AUTO;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;05/01/2019;11:48:00;MUSTARDINHA;RUA ERNESTO CAVALCANTI;;;ABALROAMENTO LONGITUDINAL;SEM VÍTIMAS;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;05/01/2019;12:20:00;VÁRZEA;RUA VALE DO SIRIJI;2010;;COLISÃO TRASEIRA;COLISÃO SEM VITIMA;2;;;;;;;;;0;
ACID. DE PERCURSO;FINALIZADA;05/01/2019;12:37:00;ILHA DO LEITE;AV LINS PETIT;;NA FRENTE DO POSTO IPIRANGA;ACID. DE PERCURSO;COLISÃO COM VITIMA, A VITIMA ESTA SENDO LEVADA PARA O HOSP. HAVIA OLEO NA PISTA;;1;;;;;;;;1;
COLISÃO TRASEIRA;FINALIZADA;05/01/2019;12:42:00;PRADO;AV ENGENHEIRO ABDIAS DE CARVALHO;;SEMÁFORO 132;COLISÃO TRASEIRA;DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;05/01/2019;13:19:00;SANTO AMARO;AV CRUZ CABUGA;341;PRÉDIO DIÁRIO DE PERNAMBUCO, FACULDADE FAMA;ABALROAMENTO TRANSVERSAL;COLISÃO ENVOLVENDO SAVEIRO (CTTU) E MOTOCICLETA - COM VÍTIMA;1;1;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;05/01/2019;15:25:00;VÁRZEA;RUA SIRIJI;98;E/F A PEDRO RAÇOES;ABALROAMENTO LONGITUDINAL;COLISAO ENTRE ONIBUS E AUTO S/V;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;05/01/2019;15:59:00;APIPUCOS;RUA DOIS IRMAOS;;SOB O SEMÁFORO Nº 416;ABALROAMENTO LONGITUDINAL;AUTO E MOTO S/V;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;05/01/2019;16:50:00;SAN MARTIN;AV GENERAL SAN MARTIN;2022;;COLISÃO TRASEIRA;COLISAO ENTRE AUTO E MOTO S/V;1;1;;;;;;;;0;
COLISÃO;CANCELADA;05/01/2019;17:17:00;DERBY;RUA JENER DE SOUZA;;PROX. AO QUARTEL DA PM;COLISÃO;COLISÃO SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;05/01/2019;18:19:00;ARRUDA;RUA ZEFERINO AGRA;;CRUZAMENTO DAS RUAS;ABALROAMENTO LONGITUDINAL;CLASSIC X AUTO;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;05/01/2019;19:01:00;TAMARINEIRA;EST VELHA DE AGUA FRIA;;DNOCS;COLISÃO TRASEIRA;ENTRE 2 AUTOS, S/V;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;06/01/2019;02:16:00;BAIRRO DO RECIFE;AV MARQUES DE OLINDA;;;ABALROAMENTO TRANSVERSAL;COLISÃO ENTRE DOIS AUTOS, SEM VÍTIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;06/01/2019;02:40:00;MADALENA;EST DOS REMEDIOS;;;ABALROAMENTO LONGITUDINAL;COLISÃO ENTRE CAMINHÃO E AUTO S/V;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;06/01/2019;06:06:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;50;APOS  A IGREJA  DO PINA   EM  FRENTE  AO POSTO  DE GASOLINA  TOTAL;ABALROAMENTO TRANSVERSAL;COLISÃO  EM SEGUIDA  CHOQUE  CONDUTOR  COLIDIU EM  ONIBUS  EM SEGUIDA   BATEU  CONTRA  UM POSTE  SEM  VITIMA;1;;;;;1;;;;0;
COLISÃO FRONTAL;FINALIZADA;06/01/2019;12:18:00;GUABIRABA;EST DOS MACACOS;;SOB PASSARELA DA BR 101;COLISÃO FRONTAL;COLISÃO SEM VÍTIMA;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;06/01/2019;18:02:00;AFOGADOS;AV SUL;;;COLISÃO TRASEIRA;ENTRE 2 AUTOS. S/V;2;;;;;;;;;0;
COLISÃO FRONTAL;FINALIZADA;06/01/2019;18:10:00;IBURA;LAD DA COHAB;;EM FRENTE AO Nº 80;COLISÃO FRONTAL;"ENTRE ÕNIBUS E AUTO PASSEIO; S/V";1;;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;06/01/2019;18:29:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;2784;SEMÁFORO 144 / PRÓX AO CARREFOUR, SNT PIEDADE;COLISÃO TRASEIRA;ÕNIBUS E MOTO. C/V;;1;;;;1;;;;2;
ABALROAMENTO LONGITUDINAL;FINALIZADA;06/01/2019;20:17:00;IPUTINGA;AV CAXANGA;;E/F A IGREJA CATÓLICA DA IPUTINGA E AO LADO DO VIADUTO / APÓS O POSTO BR / PRÓX AO SUBWAY E HOSPITAL BARÃO DE LUCENA. SNT BR;ABALROAMENTO LONGITUDINAL;VT E AUTO PASSEIO. S/V;1;1;;;;;;1;;0;
COLISÃO;CANCELADA;06/01/2019;20:48:00;MACAXEIRA;RUA TEREZA CARNEIRO;4;E/F A BARRACA DO SPORT / PRÓX AO  POSTO DE SÁUDE DE EUCALIPTO;COLISÃO;ENTRE ÕNIBUS E MOTO. S/V;;1;;;;1;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;07/01/2019;02:13:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;;;ABALROAMENTO TRANSVERSAL;COLISÃO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
TOMBAMENTO;FINALIZADA;07/01/2019;06:03:00;SANTO ANTÔNIO;PTE SEIS DE MARCO;308;PONTE VELHA;TOMBAMENTO;QUEDA;;1;;;;;;;;1;
CHOQUE OBJETO FIXO;FINALIZADA;07/01/2019;08:19:00;MADALENA;AV JOSE GONCALVES DE MEDEIROS;;;CHOQUE OBJETO FIXO;VEÍCULO CHOCOU-SE COM O MURO DA CLINICA;1;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;07/01/2019;08:19:00;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;336;POUSADA DIPLOMATA;ABALROAMENTO TRANSVERSAL;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/01/2019;08:30:00;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;;AO LADO DO EDF. HILSON DE AZEVEDO MOTA;ABALROAMENTO LONGITUDINAL;AUTO E MOTO;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;07/01/2019;08:37:00;TORRE;AV BEIRA RIO;;EM FRENTE AO EDF DUAS NAÇOES;COLISÃO;SEM VITIMA;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/01/2019;09:37:00;DERBY;PRC DO DERBY;;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMAS;1;1;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;07/01/2019;10:44:00;PONTO DE PARADA;AV BEBERIBE;;EM FRENTE A ANTIGA PADARIA DO INDIO;ABALROAMENTO TRANSVERSAL;colisão com duas VITIMAS,aguardando samu;;3;;;;;;;;2;
ATROPELAMENTO;FINALIZADA;07/01/2019;10:48:00;CAXANGÁ;AV CAXANGA;3210;ELEVADO BRT, EM FRENTE À FARMÁCIA PERMANENTE;ATROPELAMENTO;ATROPELAMENTO ENVOLVENDO PEDESTRE E VIATURA POLÍCIA CIVIL;;;;;1;;;1;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/01/2019;11:18:00;AFOGADOS;EST DOS REMEDIOS;S/N;MERCADO DE AFOGADOS;ABALROAMENTO LONGITUDINAL;COLISÃO ENVOLVENDO AUTO E MOTOCICLETA COM VÍTIMA;1;1;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/01/2019;12:02:00;MADALENA;RUA JANUARIO BARBOSA;862;EM FRENTE AO POSTE BO 47385;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;1;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/01/2019;12:05:00;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO;CANCELADA;07/01/2019;12:08:00;ESPINHEIRO;RUA DA HORA;906;EM FRENTE AO LABORATORIO DO HOSPITAL DOS SERVIDORES;COLISÃO;COLISÃO COM VÍTIMA;1;1;;;;;;;;1;
ABALROAMENTO TRANSVERSAL;FINALIZADA;07/01/2019;12:15:00;SANTO ANTÔNIO;AV MARTINS DE BARROS;;PONTE BUARQUE DE MACEDO;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;07/01/2019;12:18:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;6333;LADO OPOSTO A ANAC;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMA;1;;;;;;;;1;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/01/2019;12:23:00;DOIS UNIDOS;AV HILDEBRANDO DE VASCONCELOS;113;T&A MODA SURF;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/01/2019;12:44:00;ESPINHEIRO;RUA CONS PORTELA;;;ABALROAMENTO LONGITUDINAL;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO FRONTAL;FINALIZADA;07/01/2019;13:24:00;BOA VISTA;RUA BARAO DE SAO BORJA;;;COLISÃO FRONTAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/01/2019;14:21:00;MADALENA;RUA BENFICA;;;ABALROAMENTO LONGITUDINAL;;1;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/01/2019;14:25:00;;RUA JOAO FERNANDES VIEIRA;;AO LADO DO SUPERMERCADO WALMART DE Nº 34;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;1;;;;;;;;1;0;
CHOQUE OBJETO FIXO;FINALIZADA;07/01/2019;14:34:00;BAIRRO DO RECIFE;AV MILITAR;;PROX. A PREFEITURA, EM FRENTE À ESTAÇÃO DO BRUM;CHOQUE OBJETO FIXO;CONDUTOR PERDEU OO CONTROLE DO VEICULO SUBINDO A CALÇADA , RETORNOU PARA A VIA PERDEU O PNEU...;1;;;;;;;;;1;
ABALROAMENTO TRANSVERSAL;FINALIZADA;07/01/2019;14:39:00;IPSEP;RUA HELIO BRANDAO;;;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;1;1;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;07/01/2019;14:39:00;SANTO AMARO;RUA DO POMBAL;235;;ABALROAMENTO TRANSVERSAL;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/01/2019;15:04:00;;AV GOVERNADOR AGAMENON MAGALHAES;;EM FRENTE AO SEMÁFORO 173 SENTIDO OLINDA / BOA VIAGEM;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO;CANCELADA;07/01/2019;15:08:00;SAN MARTIN;AV GENERAL SAN MARTIN;;EM FRENTE A CAVALARIA;COLISÃO;COLISÃO SEM VÍTIMA;1;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/01/2019;15:22:00;CAMPINA DO BARRETO;RUA DOS CRAVEIROS;281;PRÓXIMO AO DEPÓSITO DE BEVIDAS MÚCIO;ABALROAMENTO LONGITUDINAL;COLISAO ENTRE VT DA POLICIA E ONIBUS S/V;1;;;;;;;1;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;05/01/2019;10:45:00;ARRUDA;AV PROFESSOR JOSE DOS ANJOS;;;ABALROAMENTO TRANSVERSAL;;1;1;;;;;;;;1;
ABALROAMENTO TRANSVERSAL;FINALIZADA;07/01/2019;15:24:00;CORDEIRO;AV CAXANGA;;SOB O SEMÁFORO 080;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VITIMA;1;;;;;;;;1;0;
COLISÃO TRASEIRA;FINALIZADA;07/01/2019;15:41:00;TORREÃO;AV NORTE;2157;EM FRENTE A AUTO PEÇA FIDEL;COLISÃO TRASEIRA;COLISÃO SEM VITIMA;1;;;;;;;1;;0;
ABALROAMENTO TRANSVERSAL;PENDENTE;07/01/2019;16:03:00;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;1503;E/F AO POSTO SHELL;ABALROAMENTO TRANSVERSAL;COLISAO ENTRE AUTO E MOTOS S/V;1;1;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;07/01/2019;16:20:00;TAMARINEIRA;EST VELHA DE AGUA FRIA;;E/F AO RESTAURANTE BEERGRIL;ABALROAMENTO TRANSVERSAL;COLISAO ENTRE AUTO E MOTO COM UMA VITIMA;1;1;;;;;;;;1;
COLISÃO TRASEIRA;FINALIZADA;07/01/2019;16:40:00;AFOGADOS;RUA MOTOCOLOMBO;184;;COLISÃO TRASEIRA;SEM VÍTIMA;3;;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;07/01/2019;16:41:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;;NA FRENTE DA GALERIA RECIFE TREDY CENTER;COLISÃO TRASEIRA;COLISÃO SEM VITIMA;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;07/01/2019;17:28:00;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;E/F AO HOSPITAL DA RESTAURAÇAO  S/T BOA VIAGEM;COLISÃO TRASEIRA;COLISAO ENTRE DUAS VT DA POLICIA S/V;;;;;;;;2;;0;
COLISÃO;FINALIZADA;07/01/2019;17:57:00;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;;POSTO DE COMBUSTÍVEL CANAL 01;COLISÃO;COLISÃO SEM VITIMA;1;1;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;07/01/2019;21:35:00;ALTO JOSÉ BONIFÁCIO;RUA CORREGO DO EUCLIDES;765;PROX AO AMARELINHO JATO DEPOIS DA ASSEMBLEIA DE DEUS;ABALROAMENTO TRANSVERSAL;SANDERO X MOTO;1;1;;;;;;;;1;
ABALROAMENTO TRANSVERSAL;FINALIZADA;07/01/2019;21:42:00;BOA VIAGEM;RUA BARAO DE SOUZA LEAO;514;ED SAN SEBASTIAN;ABALROAMENTO TRANSVERSAL;DOIS AUTOS CHOCOU-SE COM O PORTAO DA CAGAREM EDF.SAN SEBASTIAN;2;;;;;;;;;0;
COLISÃO FRONTAL;FINALIZADA;07/01/2019;22:01:00;DOIS UNIDOS;AV HILDEBRANDO DE VASCONCELOS;1016;PROX ANTIGA  FABRICA DA MINEVA;COLISÃO FRONTAL;VOYAGE X HONDA FIT;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/01/2019;06:25:00;SÃO JOSÉ;RUA DO PEIXOTO;;EM FRENTE A IGREJA MUNIZ DO BAIRRO DE SÃO JOSÉ;ABALROAMENTO LONGITUDINAL;ONIBUS E AUTO;1;;;;;1;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;08/01/2019;06:47:00;VÁRZEA;RUA MARECHAL MANOEL LUIS OSORIO;495;EM FRENTE AO COLEGIO PONTUAL;ABALROAMENTO TRANSVERSAL;AUTO E MOTO;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;08/01/2019;06:59:00;VÁRZEA;RUA PROFESSOR CHAVES BATISTA;187;EM FRENTE AO EDF HELOISA;COLISÃO TRASEIRA;COLISÃO  SEM VITIMAS;1;1;;;;;;;;0;
COLISÃO COM CICLISTA;FINALIZADA;08/01/2019;07:31:00;CABANGA;AV GOVERNADOR PAULO GUERRA;;PROX A COMPESA;COLISÃO COM CICLISTA;BICICLETA E MOTO;;1;;1;;;;;;2;
CHOQUE VEÍCULO PARADO;FINALIZADA;08/01/2019;07:49:00;VÁRZEA;RUA MARECHAL MANOEL LUIS OSORIO;495;EM  FRENTE  AO COLEGIO  PONTUAL;CHOQUE VEÍCULO PARADO;COLISÃO SEM VITIMAS    VT  17  QTH;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/01/2019;07:53:00;PAISSANDU;RUA PAISSANDU;;EM FRENTE AO BRADESCO;ABALROAMENTO LONGITUDINAL;MOTO E AUTO;1;1;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;08/01/2019;08:21:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;;;ABALROAMENTO TRANSVERSAL;DOIS AUTOS  MOTOS 34 E 24 NO QTH;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;08/01/2019;08:27:00;CASA AMARELA;RUA MAJOR NEREU GUERRA;310;EM FRENTE A GALERIA VIA APIA;COLISÃO TRASEIRA;SEM VÍTIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/01/2019;08:57:00;BOA VIAGEM;RUA BALTAZAR PASSOS;6432;EDF MARIA FRAZÃO;ABALROAMENTO LONGITUDINAL;CAMINHÃO E AUTO;1;;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;08/01/2019;10:09:00;CASA FORTE;AV DEZESSETE DE AGOSTO;2720;;COLISÃO TRASEIRA;SEM VÍTIMAS;3;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/01/2019;10:24:00;SANTO AMARO;RUA DA UNIAO;;EM  FRENTE A  ASSEMBLEIA  LEGISLATIVA;ABALROAMENTO LONGITUDINAL;COLISÃO  SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/01/2019;10:29:00;NOVA DESCOBERTA;RUA CORREGO DA AREIA;1229;;ABALROAMENTO LONGITUDINAL;COLISÃO  SEM VITIMAS;1;;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;08/01/2019;10:58:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;820;EM FRENTE A CONCESSIONARIA FORD;COLISÃO TRASEIRA;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/01/2019;11:04:00;AREIAS;AV RECIFE;5510;;ABALROAMENTO LONGITUDINAL;CARRETA E AUTO PASSEIO;1;;;;;;1;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;08/01/2019;12:09:00;ESPINHEIRO;RUA MARQUES DO PARANA;209;EM FRENTE AO MARTELINHO DE OURO;ABALROAMENTO TRANSVERSAL;DOIS AUTOS S/V;2;;;;;;;;;0;
CHOQUE VEÍCULO PARADO;FINALIZADA;08/01/2019;12:34:00;SANTO AMARO;AV VISCONDE DE SUASSUNA;923;EM FRENTE AO EDIFICIO BOSQUE DE VERSAILLES;CHOQUE VEÍCULO PARADO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/01/2019;13:00:00;TORRE;RUA REAL DA TORRE;1531;EM FRENTE A DELICATESSEN TORRE MASSAS;ABALROAMENTO LONGITUDINAL;AUTO  E MOTO;1;1;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;08/01/2019;13:05:00;JAQUEIRA;RUA LEONARDO BEZERRA CAVALCANTE;59;E/F AO HOSPITAL INFANTIL MARIA LUCINDA;ABALROAMENTO TRANSVERSAL;COLISAO ENTRE AUTO E MOTO S/V;1;1;;;;;;;;0;
COLISÃO;FINALIZADA;08/01/2019;13:20:00;IMBIRIBEIRA;RUA PAMPULHA;268;EM BAIXO DO VIADUTO, DA ESTAÇAO DO METRO ANTONIO FALCAO;COLISÃO;DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;CANCELADA;08/01/2019;13:29:00;CAMPO GRANDE;AV PROFESSOR JOSE DOS ANJOS;116C;PROX AO CONJUNTO RESIDENCIAL SARAMANDAIA;COLISÃO;COLISAO ENTRE AUTO E MOTO S/V;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;08/01/2019;13:31:00;MADALENA;AV VISCONDE DE ALBUQUERQUE;81;EM FRENTE A LOGNET INFORMATICA;COLISÃO TRASEIRA;ENTRE UM CAMINHAO E DOIS AUTOS PASSEIO S/V;2;;;;;;1;;;0;
COLISÃO;FINALIZADA;08/01/2019;13:35:00;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;452;EM FRENTE A PASSIRA DELICATESSE;COLISÃO;COLISÃO SEM VÍTIMA;1;;;;;1;;;;0;
COLISÃO FRONTAL;FINALIZADA;08/01/2019;15:04:00;IPSEP;RUA JEAN EMILE FAVRE;754;E/F AO ESCOLA ELEONOR ROOSEVELT, FARMÁCIA DIARIAMENTE;COLISÃO FRONTAL;COLISAO ENRE AUTO E MOTO COM UMA VITIMA;1;1;;;;;;;;1;
COLISÃO TRASEIRA;FINALIZADA;08/01/2019;15:05:00;SANTO AMARO;AV NORTE;;SOB O SEMÁFORO DE Nº 463;COLISÃO TRASEIRA;DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;CANCELADA;08/01/2019;15:06:00;BOA VIAGEM;RUA BRUNO VELOSO;452;EM FRENTE A PASSIRA DELICATESSE;COLISÃO;COLISÃO SEM VÍTIMA;1;;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;08/01/2019;15:42:00;PINA;AV ANTONIO DE GOES;500;EM FRENTE A LOCALIZA HERTZ;COLISÃO TRASEIRA;COLISAO ENVOLVENDO TRES AUTOS SEM VITIMA;3;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/01/2019;16:20:00;CASA AMARELA;EST DO ARRAIAL;3934;EM FRENTE AO BANCO BRASIL;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
;FINALIZADA;08/01/2019;17:12:00;BOA VIAGEM;RUA PROFESSOR AUGUSTO LINS E SILVA;563;;;DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;08/01/2019;17:25:00;BOA VIAGEM;AV VINTE DE JANEIRO;;EM FRENTE AO Nº 237;COLISÃO TRASEIRA;DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;08/01/2019;18:51:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;LADO OPOSTO AO Nº 6345;COLISÃO TRASEIRA;QUATRO VEICULOS;4;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;08/01/2019;20:29:00;GRAÇAS;RUA ANTENOR NAVARRO;60;;COLISÃO TRASEIRA;HB 20 X CHEVROLET;2;;;;;;;;;0;
COLISÃO;CANCELADA;09/01/2019;01:50:00;JORDÃO;RUA DR ALVARO FERRAZ;70;EM FRENTE AO TERMINAL DE ÔNIBUS DO JORÃO BAIXO, EM FRENTE A FARMÁCIA BRILHANTE;COLISÃO;COLISÃO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;09/01/2019;05:50:00;BOA VIAGEM;RUA WALDEMAR NERY CARNEIRO MONTEIRO;391;;ABALROAMENTO TRANSVERSAL;SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;CANCELADA;09/01/2019;06:27:00;BOA VISTA;RUA JOSE DE ALENCAR;;EM FRENTE  AO  HOTEL  BOA VISTA;COLISÃO;COLISÃO  SEM VITIMAS;1;1;;;;;;;;0;
COLISÃO;CANCELADA;09/01/2019;07:06:00;MANGUEIRA;RUA VINTE E UM DE ABRIL;;EM  FRENTE  AO  TERMINAL INTEGRADO  DA MANGUEIRA;COLISÃO;COLISÃO SEM  VITIMAS;;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;09/01/2019;07:49:00;BOA VIAGEM;AVENIDA CELSO FURTADO (VIA MANGUE);;PROX  A LOMABADA  ELETRONICA. ENTRADA DA ESTAÇÃO DE RÁDIO DA MARINHA.;ABALROAMENTO LONGITUDINAL;COLISÃO  COM VITIMA;1;1;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;09/01/2019;08:32:00;ENGENHO DO MEIO;;198;;ABALROAMENTO LONGITUDINAL;DOIS AUTOS;2;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;09/01/2019;09:03:00;IMBIRIBEIRA;RUA CORONEL FABRICIANO;;AO LADO  DO ATACADO  DOS PRESENTES;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMAS;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;09/01/2019;10:16:00;AREIAS;AV RECIFE;5520;;COLISÃO TRASEIRA;SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;CANCELADA;09/01/2019;12:19:00;CAXANGÁ;AV CAXANGA;;PROX. A UPA, ANTES DA PONTE, SENTIDO RECIFE;COLISÃO;AUTO E MOTO S/V;1;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;09/01/2019;14:43:00;ESTÂNCIA;AV RECIFE;;POSTO BR;ABALROAMENTO LONGITUDINAL;AUTO E CAMINHAO S/V;1;;;;;;1;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;09/01/2019;14:45:00;SÃO JOSÉ;RUA SAO JOAO;;;ABALROAMENTO LONGITUDINAL;COLISAO ENTRE  DOIS AUTOS S/V  VT 04 NO LOCAL;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;09/01/2019;15:19:00;BOA VIAGEM;RUA RIO AZUL;;EM FRENTE AO SUPERMERCADO TREVO;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;09/01/2019;15:21:00;TORRE;RUA JOSE BONIFACIO;1143;PROX. AO CARREFOUR;COLISÃO TRASEIRA;AUTO E MOTO C/V;1;1;;;;;;;;1;
